Youtube title,Video_num,File_id,Start_time,End_time,Label,url
"야간 탈레반 소탕 작전, 실제 전투 영상",001,0,163,173,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,1,173,177,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,2,179,189,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,3,221,223,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,4,270,278,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,5,280,290,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
"야간 탈레반 소탕 작전, 실제 전투 영상",001,6,308,315,0,https://www.youtube.com/watch?v=_zPFYjW8EF8
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,0,125,135,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,1,135,138,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,2,496,505,1,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,3,518,525,1,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,4,690,692,1,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,5,1141,1144,1,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,6,1155,1161,1,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,7,1235,1245,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,8,1245,1255,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,9,1266,1276,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,10,1276,1281,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,11,1291,1301,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,12,1301,1311,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,13,1325,1335,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,14,1335,1344,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
★UDT_SEAL 다큐 4탄!★ 아덴만의 용사들 - 청해부대 밀착 취재기!,002,15,1567,1577,0,https://www.youtube.com/watch?v=gRMz4ZEN4Bg
